Date,Open,High,Low,Close,Adj Close,Volume
2009-10-23,0.068484,0.068484,0.068484,0.068484,0.068484,5475
2009-10-26,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-10-27,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-10-28,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-10-29,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-10-30,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-11-02,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-11-03,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-11-04,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-11-05,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-11-06,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-11-09,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-11-10,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-11-11,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-11-12,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-11-13,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-11-16,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-11-17,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-11-18,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-11-19,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-11-20,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-11-23,0.068484,0.068484,0.068484,0.068484,0.068484,0
2009-11-24,0.045656,0.045656,0.045656,0.045656,0.045656,328
2009-11-25,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-11-27,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-11-30,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-12-01,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-12-02,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-12-03,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-12-04,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-12-07,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-12-08,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-12-09,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-12-10,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-12-11,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-12-14,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-12-15,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-12-16,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-12-17,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-12-18,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-12-21,0.045656,0.045656,0.045656,0.045656,0.045656,0
2009-12-22,0.045656,0.045656,0.045656,0.045656,0.045656,0
